"","SpeciesID","Order","Family","Genus","Species","Taxonomic_Comments","Extinct_full","Extinct_partial","Marine_full","Marine_partial","Migr_dir_full","Migr_dir_partial","Migr_dir_local","Migr_disp_full","Migr_disp_partial","Migr_disp_local","Migr_altitudinal","Irruptive","Nomad_full","Nomad_partial","Nomad_local","Resid_full","Resid_partial","Unknown","Uncertain","Migratory_status_Comments","Triplechecked","Migratory_status","Migratory_status_2","Migratory_status_3","scientificNameStd","speciesCode","sciName","comName"
"93",1693,"CHARADRIIFORMES","Scolopacidae","Calidris","melanotos","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Calidris melanotos","pecsan","Calidris melanotos","Pectoral Sandpiper"
"94",1699,"CHARADRIIFORMES","Scolopacidae","Calidris","himantopus","HBW: Micropalama_himantopus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Calidris himantopus","stisan","Calidris himantopus","Stilt Sandpiper"
"95",1704,"CHARADRIIFORMES","Scolopacidae","Phalaropus","tricolor","HBW: Steganopus_tricolor",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Phalaropus tricolor","wilpha","Phalaropus tricolor","Wilson's Phalarope"
"96",1730,"CHARADRIIFORMES","Laridae","Rynchops","niger","",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,"migratory, N breeders winter S, for S breeders movements are poorly documented but seasonal presence along coast, seem dispersive at least",1,"directional migratory","partial directional migrant","partial directional migrant","Rynchops niger","blkski","Rynchops niger","Black Skimmer"
"97",1754,"CHARADRIIFORMES","Laridae","Leucophaeus","atricilla","HBW: Larus_atricilla",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"coastal; post-breeding dispersal N followed by movement S, tropical popltns largely resident",1,"directional migratory","partial directional migrant","partial directional migrant","Leucophaeus atricilla","laugul","Leucophaeus atricilla","Laughing Gull"
"98",1755,"CHARADRIIFORMES","Laridae","Leucophaeus","pipixcan","HBW: Larus_pipixcan",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"winters along coast",1,"directional migratory","full directional migrant","full directional migrant","Leucophaeus pipixcan","fragul","Leucophaeus pipixcan","Franklin's Gull"
"99",1769,"CHARADRIIFORMES","Laridae","Larus","delawarensis","",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"winters principally along coasts and rivers; mostly migratory, some areas occupied year-round and some apparently disperse short-distance to coasts",1,"directional migratory","partial directional migrant","partial directional migrant","Larus delawarensis","ribgul","Larus delawarensis","Ring-billed Gull"
"101",1787,"CHARADRIIFORMES","Laridae","Gelochelidon","nilotica","includes macrotarsa",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"partially coastal but some popltns over freshwater and on land; esp N popltns disperse in all directions after breeding, then migrate S or E",1,"directional migratory","partial directional migrant","partial directional migrant","Gelochelidon nilotica","gubter1","Gelochelidon nilotica","Gull-billed Tern"
"102",1788,"CHARADRIIFORMES","Laridae","Hydroprogne","caspia","",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"locally along coasts but rarely pelagic; N breeders show post-breeding dispersal then migrate S",1,"directional migratory","partial directional migrant","partial directional migrant","Hydroprogne caspia","caster1","Hydroprogne caspia","Caspian Tern"
"103",1789,"CHARADRIIFORMES","Laridae","Thalasseus","maximus","",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"coastal especially outside breeding season; post-breeding dispersal N followed by migration S, some only disperse in winter",1,"directional migratory","partial directional migrant","partial directional migrant","Thalasseus maximus","royter1","Thalasseus maximus","Royal Tern"
"105",1794,"CHARADRIIFORMES","Laridae","Thalasseus","sandvicensis","in HBW Thalasseus_sandvicensis includes race acuflavidus",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"strictly coastal; post-breeding movement both N and S, then S migration",1,"directional migratory","partial directional migrant","partial directional migrant","Thalasseus sandvicensis","santer1","Thalasseus sandvicensis","Sandwich Tern"
"106",1798,"CHARADRIIFORMES","Laridae","Sternula","antillarum","HBW: Sterna_antillarum",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"coastal esp in winter; highly migratory, though S popltns mostly disperse from fresh to saltwater habitats",1,"directional migratory","partial directional migrant","partial directional migrant","Sternula antillarum","leater1","Sternula antillarum","Least Tern"
"108",1812,"CHARADRIIFORMES","Laridae","Sterna","hirundo","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"coastal and inland areas during breeding, winters mainly along coasts at sea; migratory, N breeders winter further S, some apparently resident popltns",1,"directional migratory","partial directional migrant","partial directional migrant","Sterna hirundo","comter","Sterna hirundo","Common Tern"
"109",1817,"CHARADRIIFORMES","Laridae","Sterna","forsteri","",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"coastal in non-breeding season; after post-breeding dispersal N migrates S, apparently some oversummer in winter area or are merely dispersive",1,"directional migratory","partial directional migrant","partial directional migrant","Sterna forsteri","forter","Sterna forsteri","Forster's Tern"
"110",1823,"CHARADRIIFORMES","Laridae","Chlidonias","niger","",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"coastal in winter; post-breeding dispersal N, then S long-distance migration",1,"directional migratory","full directional migrant","full directional migrant","Chlidonias niger","blkter","Chlidonias niger","Black Tern"
"115",1987,"COLUMBIFORMES","Columbidae","Zenaida","macroura","",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"migratory in N, sedentary with small numbers dispersing in S",1,"directional migratory","partial directional migrant","partial directional migrant","Zenaida macroura","moudov","Zenaida macroura","Mourning Dove"
"116",1992,"COLUMBIFORMES","Columbidae","Zenaida","asiatica","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"migratory in N, resident in S",1,"directional migratory","partial directional migrant","partial directional migrant","Zenaida asiatica","whwdov","Zenaida asiatica","White-winged Dove"
"134",2701,"CUCULIFORMES","Cuculidae","Coccyzus","americanus","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Coccyzus americanus","yebcuc","Coccyzus americanus","Yellow-billed Cuckoo"
"135",2702,"CUCULIFORMES","Cuculidae","Coccyzus","euleri","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"austral migrant, but limits of breeding and non-breeding distributions unclear",1,"directional migratory","partial directional migrant","partial directional migrant","Coccyzus euleri","pebcuc1","Coccyzus euleri","Pearly-breasted Cuckoo"
"143",3035,"CAPRIMULGIFORMES","Caprimulgidae","Chordeiles","acutipennis","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"little known, many popltns possibly largely sedentary, but some in N definitely migratory",1,"directional migratory","partial directional migrant","partial directional migrant","Chordeiles acutipennis","lesnig","Chordeiles acutipennis","Lesser Nighthawk"
"144",3036,"CAPRIMULGIFORMES","Caprimulgidae","Chordeiles","minor","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"highly migratory",1,"directional migratory","full directional migrant","full directional migrant","Chordeiles minor","comnig","Chordeiles minor","Common Nighthawk"
"146",3141,"APODIFORMES","Apodidae","Streptoprocne","rutila","HBW: Cypseloides_rutilus",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,"partial migrant, resident in S but limited withdrawal from N in winter esp of high-altitude birds, also in S altitud migration",1,"directional migratory","partial directional migrant","partial directional migrant","Streptoprocne rutila","chcswi1","Streptoprocne rutila","Chestnut-collared Swift"
"148",3199,"APODIFORMES","Apodidae","Chaetura","vauxi","includes andrei (not meridionalis, see below)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"N popltns migratory, S ones resident, migratory status of andrei unknown but mapped as resident",1,"directional migratory","partial directional migrant","partial directional migrant","Chaetura vauxi","vauswi","Chaetura vauxi","Vaux's Swift"
"149",3201,"APODIFORMES","Apodidae","Chaetura","pelagica","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Chaetura pelagica","chiswi","Chaetura pelagica","Chimney Swift"
"157",3738,"CORACIIFORMES","Alcedinidae","Megaceryle","torquata","",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"mainly sedentary, makes local movements to distant waterbodies, in extreme S with post-breeding migration towards N",1,"directional migratory","partial directional migrant","partial directional migrant","Megaceryle torquata","rinkin1","Megaceryle torquata","Ringed Kingfisher"
"158",3739,"CORACIIFORMES","Alcedinidae","Megaceryle","alcyon","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"partial migrant in most of range, fully migratory in N",1,"directional migratory","partial directional migrant","partial directional migrant","Megaceryle alcyon","belkin1","Megaceryle alcyon","Belted Kingfisher"
"168",5056,"PASSERIFORMES","Tyrannidae","Elaenia","chiriquensis","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"mostly resident, apparent migration from S of range but non-breeding grounds difficult to delineate",1,"directional migratory","partial directional migrant","partial directional migrant","Elaenia chiriquensis","lesela1","Elaenia chiriquensis","Lesser Elaenia"
"172",5166,"PASSERIFORMES","Tyrannidae","Myiophobus","fasciatus","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"mostly resident, extreme S popltns migratory",1,"directional migratory","partial directional migrant","partial directional migrant","Myiophobus fasciatus","brcfly1","Myiophobus fasciatus","Bran-colored Flycatcher"
"177",5260,"PASSERIFORMES","Tyrannidae","Contopus","cooperi","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Contopus cooperi","olsfly","Contopus cooperi","Olive-sided Flycatcher"
"178",5265,"PASSERIFORMES","Tyrannidae","Contopus","sordidulus","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Contopus sordidulus","wewpew","Contopus sordidulus","Western Wood-Pewee"
"179",5266,"PASSERIFORMES","Tyrannidae","Contopus","virens","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Contopus virens","eawpew","Contopus virens","Eastern Wood-Pewee"
"180",5276,"PASSERIFORMES","Tyrannidae","Empidonax","virescens","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Empidonax virescens","acafly","Empidonax virescens","Acadian Flycatcher"
"181",5277,"PASSERIFORMES","Tyrannidae","Empidonax","traillii","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Empidonax traillii","wilfly","Empidonax traillii","Willow Flycatcher"
"182",5278,"PASSERIFORMES","Tyrannidae","Empidonax","alnorum","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Empidonax alnorum","aldfly","Empidonax alnorum","Alder Flycatcher"
"183",5366,"PASSERIFORMES","Tyrannidae","Legatus","leucophaius","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"at least partially migratory in both N & S of range",1,"directional migratory","partial directional migrant","partial directional migrant","Legatus leucophaius","pirfly1","Legatus leucophaius","Piratic Flycatcher"
"185",5369,"PASSERIFORMES","Tyrannidae","Myiozetetes","similis","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"not well known, probably resident in many areas, at least partially migratory in others",1,"directional migratory","partial directional migrant","partial directional migrant","Myiozetetes similis","socfly1","Myiozetetes similis","Social Flycatcher"
"187",5382,"PASSERIFORMES","Tyrannidae","Myiodynastes","maculatus","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"migratory in N and S of range",1,"directional migratory","partial directional migrant","partial directional migrant","Myiodynastes maculatus","strfly1","Myiodynastes maculatus","Streaked Flycatcher"
"188",5383,"PASSERIFORMES","Tyrannidae","Megarynchus","pitangua","",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,"not very well understood, some popltns in S considered migratory, known to wander broadly and undergoes some elevational shifts",1,"directional migratory","partial directional migrant","partial directional migrant","Megarynchus pitangua","bobfly1","Megarynchus pitangua","Boat-billed Flycatcher"
"189",5389,"PASSERIFORMES","Tyrannidae","Tyrannus","melancholicus","",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,"at least partially migratory in N and S of range, also large-scale altitud movements",1,"directional migratory","partial directional migrant","partial directional migrant","Tyrannus melancholicus","trokin","Tyrannus melancholicus","Tropical Kingbird"
"190",5394,"PASSERIFORMES","Tyrannidae","Tyrannus","forficatus","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Tyrannus forficatus","sctfly","Tyrannus forficatus","Scissor-tailed Flycatcher"
"191",5395,"PASSERIFORMES","Tyrannidae","Tyrannus","savana","",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"resident, nomadic, and partially migratory, migrates N from S of range, N popltns resident with some nomadic and local movements",1,"directional migratory","partial directional migrant","partial directional migrant","Tyrannus savana","fotfly","Tyrannus savana","Fork-tailed Flycatcher"
"192",5396,"PASSERIFORMES","Tyrannidae","Tyrannus","tyrannus","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Tyrannus tyrannus","easkin","Tyrannus tyrannus","Eastern Kingbird"
"193",5397,"PASSERIFORMES","Tyrannidae","Tyrannus","dominicensis","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"some popltns largely resident, others migrate",1,"directional migratory","partial directional migrant","partial directional migrant","Tyrannus dominicensis","grykin","Tyrannus dominicensis","Gray Kingbird"
"196",5420,"PASSERIFORMES","Tyrannidae","Myiarchus","crinitus","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"migratory, small overlap of breeding and non-breeding ranges",1,"directional migratory","full directional migrant","full directional migrant","Myiarchus crinitus","grcfly","Myiarchus crinitus","Great Crested Flycatcher"
"202",6322,"PASSERIFORMES","Vireonidae","Vireo","flavifrons","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Vireo flavifrons","yetvir","Vireo flavifrons","Yellow-throated Vireo"
"203",6333,"PASSERIFORMES","Vireonidae","Vireo","olivaceus","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"N popltns migratory and far S ones (austral winter in tropics), elsewhere resident",1,"directional migratory","partial directional migrant","partial directional migrant","Vireo olivaceus","reevir1","Vireo olivaceus","Red-eyed Vireo"
"204",6335,"PASSERIFORMES","Vireonidae","Vireo","flavoviridis","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Vireo flavoviridis","yegvir","Vireo flavoviridis","Yellow-green Vireo"
"207",7155,"PASSERIFORMES","Hirundinidae","Riparia","riparia","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Riparia riparia","banswa","Riparia riparia","Bank Swallow"
"208",7158,"PASSERIFORMES","Hirundinidae","Tachycineta","bicolor","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"mostly migratory, some possibly resident popltns",1,"directional migratory","partial directional migrant","partial directional migrant","Tachycineta bicolor","treswa","Tachycineta bicolor","Tree Swallow"
"210",7171,"PASSERIFORMES","Hirundinidae","Progne","chalybea","",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"partially migratory popltns, post-breeding dispersal in flocks in N, migratory in S of range",1,"directional migratory","partial directional migrant","partial directional migrant","Progne chalybea","gybmar","Progne chalybea","Gray-breasted Martin"
"211",7184,"PASSERIFORMES","Hirundinidae","Stelgidopteryx","serripennis","",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"migratory in N, resident with local post-breeding movements in S",1,"directional migratory","partial directional migrant","partial directional migrant","Stelgidopteryx serripennis","nrwswa","Stelgidopteryx serripennis","Northern Rough-winged Swallow"
"212",7185,"PASSERIFORMES","Hirundinidae","Stelgidopteryx","ruficollis","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"apparently resident in N, migratory in S",1,"directional migratory","partial directional migrant","partial directional migrant","Stelgidopteryx ruficollis","srwswa1","Stelgidopteryx ruficollis","Southern Rough-winged Swallow"
"213",7187,"PASSERIFORMES","Hirundinidae","Hirundo","rustica","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"mainly migratory, a few stay all year and a few resident popltns",1,"directional migratory","partial directional migrant","partial directional migrant","Hirundo rustica","barswa","Hirundo rustica","Barn Swallow"
"214",7226,"PASSERIFORMES","Hirundinidae","Petrochelidon","pyrrhonota","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Petrochelidon pyrrhonota","cliswa","Petrochelidon pyrrhonota","Cliff Swallow"
"216",8205,"PASSERIFORMES","Troglodytidae","Troglodytes","aedon","includes brunneicollis, musculus, beani",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"migratory in N, sedentary popltns in subtropics and tropics, migratory in extreme S of range but non-breeding range there imperfectly known, also possibly minor altitud movements",1,"directional migratory","partial directional migrant","partial directional migrant","Troglodytes aedon","houwre","Troglodytes aedon","House Wren"
"223",9638,"PASSERIFORMES","Fringillidae","Carduelis","psaltria","",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,"resident, partial migrant and nomadic, N popltns move S but wintering areas largely unknown, possibly nomadic within S part of breeding range, also altitud migration",1,"directional migratory","partial directional migrant","partial directional migrant","Spinus psaltria","lesgol","Spinus psaltria","Lesser Goldfinch"
"224",9751,"PASSERIFORMES","Parulidae","Parkesia","noveboracensis","in HBW Seiurus_noveboracensis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Parkesia noveboracensis","norwat","Parkesia noveboracensis","Northern Waterthrush"
"225",9755,"PASSERIFORMES","Parulidae","Mniotilta","varia","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Mniotilta varia","bawwar","Mniotilta varia","Black-and-white Warbler"
"226",9756,"PASSERIFORMES","Parulidae","Protonotaria","citrea","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Protonotaria citrea","prowar","Protonotaria citrea","Prothonotary Warbler"
"227",9760,"PASSERIFORMES","Parulidae","Leiothlypis","peregrina","in HBW in Vermivora",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Leiothlypis peregrina","tenwar","Leiothlypis peregrina","Tennessee Warbler"
"228",9788,"PASSERIFORMES","Parulidae","Setophaga","ruticilla","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Setophaga ruticilla","amered","Setophaga ruticilla","American Redstart"
"229",9795,"PASSERIFORMES","Parulidae","Setophaga","castanea","in HBW in Dendroica",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Setophaga castanea","babwar","Setophaga castanea","Bay-breasted Warbler"
"230",9796,"PASSERIFORMES","Parulidae","Setophaga","fusca","in HBW in Dendroica",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Setophaga fusca","bkbwar","Setophaga fusca","Blackburnian Warbler"
"232",9805,"PASSERIFORMES","Parulidae","Setophaga","coronata","in HBW Dendroica_auduboni and Dendroica_goldmani are included in Dendroica_coronata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Setophaga coronata","yerwar","Setophaga coronata","Yellow-rumped Warbler"
"234",9908,"PASSERIFORMES","Icteridae","Icterus","spurius","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Icterus spurius","orcori","Icterus spurius","Orchard Oriole"
"235",9917,"PASSERIFORMES","Icteridae","Icterus","galbula","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Icterus galbula","balori","Icterus galbula","Baltimore Oriole"
"237",9947,"PASSERIFORMES","Icteridae","Molothrus","aeneus","",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,"migratory and apparently resident popltns with altitud movements in highlands",1,"directional migratory","partial directional migrant","partial directional migrant","Molothrus aeneus","brocow","Molothrus aeneus","Bronzed Cowbird"
"239",9963,"PASSERIFORMES","Icteridae","Quiscalus","mexicanus","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"apparently resident in most of range, short distance migrant in extreme N, though even these popltns may not move during mild winters, and wintering ranges poorly known",1,"directional migratory","partial directional migrant","partial directional migrant","Quiscalus mexicanus","grtgra","Quiscalus mexicanus","Great-tailed Grackle"
"240",9973,"PASSERIFORMES","Icteridae","Sturnella","magna","includes lilianae",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"usually resident in most of range, N popltns migratory but little information, seasonal status and winter ranges of some popltns require more study, altitud movements likely in part of range",1,"directional migratory","partial directional migrant","partial directional migrant","Sturnella magna","easmea","Sturnella magna","Eastern Meadowlark"
"248",10325,"PASSERIFORMES","Thraupidae","Cyanerpes","cyaneus","",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,"some local movements, also elev, in response to fruit and nectar availability, in some areas sporadic and seasonal but regarded as resident, in N of range seasonal N-S movements but timing needs confirmation, eslewhere apparently resident",1,"directional migratory","partial directional migrant","partial directional migrant","Cyanerpes cyaneus","relhon1","Cyanerpes cyaneus","Red-legged Honeycreeper"
"254",10533,"PASSERIFORMES","Cardinalidae","Piranga","rubra","in HBW in family Thraupidae",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Piranga rubra","sumtan","Piranga rubra","Summer Tanager"
"255",10549,"PASSERIFORMES","Cardinalidae","Spiza","americana","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"directional migratory","full directional migrant","full directional migrant","Spiza americana","dickci","Spiza americana","Dickcissel"
"257",10594,"PASSERIFORMES","Cardinalidae","Passerina","ciris","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"almost totally migratory, winters casually in some very small extreme S areas of breeding range",1,"directional migratory","full directional migrant","full directional migrant","Passerina ciris","paibun","Passerina ciris","Painted Bunting"
